# ----------------------------------------
# Pages and screens: Page path and screen class
# Account: Denver Streets Partnership
# Property: Denver Streets Partnership
# ----------------------------------------
# 
# All Users
# Start date: 20260506
# End date: 20260602
Page path and screen class,Views,Active users,Views per active user,Average engagement time per active user,Event count,Key events,Total revenue
/project/unsafe-conditions-on-peoria-get-an-up-close-look-from-local-leaders-and-decision-makers/,6,6,1,0,18,0,0
/3-1-1-day-of-action/,5,5,1,1,17,0,0
/donate,5,2,2.5,0.5,7,0,0
/join-the-dsp-coalition/,5,5,1,0,15,0,0
/parking-day-recap/,5,5,1,17.8,20,0,0
/project/13th-avenue-pop-up-traffic-calming/,5,4,1.25,2.75,12,0,0
/project/2022-budget-recommendations/,5,5,1,0,15,0,0
/project/denver-officials-pick-lime-and-lyft-to-run-the-citys-shared-bike-and-scooter-system/,5,5,1,0,15,0,0
/project/denver-streets-partnership-urges-city-to-prioritize-funding-for-updated-vision-zero-plan/,5,5,1,0,15,0,0
/project/great-paths-the-boulevard-at-jefferson-park/,5,5,1,0.8,16,0,0
/project/press-release-2022-05-19-first-of-4-billion-transportation-investment-to-transit-biking-safety/,5,5,1,0,15,0,0
/protect-safe-streets-funding/,5,3,1.6666666666666667,32.333333333333336,12,0,0
/report-card-press-release/,5,5,1,5.4,14,0,0
/what-we-do/colfax/parking/,5,4,1.25,52.5,17,0,0
/what-we-do/community-networks/,5,5,1,47.8,23,0,0
/what-we-do/complete-streets/,5,5,1,28.8,14,0,0
/why-the-broadway-bikeway-matters/,5,5,1,19.2,20,0,0
/13th-14th-traffic-calming/,4,4,1,13.5,17,0,0
/a-new-hope-denvers-core-network-of-bike-routes/,4,4,1,14.5,16,0,0
/our-next-evolution/,4,4,1,16,14,0,0
/project/2019-vision-zero-community-program/,4,3,1.3333333333333333,10.333333333333334,13,0,0
/project/denver-connector-fills-transit-gaps-in-more-neighborhoods-with-godsend-of-on-demand-service/,4,4,1,0.25,5,0,0
/project/over-the-colfax-clover-neighborhood-festival/,4,4,1,0,12,0,0
/project/press-release-2021-09-24-sidewalk-palooza/,4,4,1,0,12,0,0
/project/vision-zero-community-art-program/,4,3,1.3333333333333333,12.666666666666666,15,0,0
/transit-town-halls/,4,3,1.3333333333333333,4.666666666666667,12,0,0
/what-we-do/shared-open-streets/safer-streets-map/,4,4,1,1.25,12,0,0
/2020-bike-lanes/,3,1,3,9,8,0,0
/apply-to-dsp-advisory-board/,3,3,1,7.666666666666667,11,0,0
/community-voices-vamos/,3,3,1,17.666666666666668,12,0,0
/empowered-mimi-luong/,3,3,1,123,13,0,0
/high-comfort-bike-lanes/,3,3,1,38.333333333333336,12,0,0
/join-the-denver-deserves-sidewalks-campaign/,3,3,1,0,3,0,0
/meet-emily-kleinfelter-dsp-program-associate/,3,3,1,15.333333333333334,14,0,0
/micromobility-license-agreements/,3,3,1,11,8,0,0
/pedal-powered-delivery/,3,1,3,35,11,0,0
/project/bus-rapid-transit-on-colfax/,3,3,1,3.6666666666666665,11,0,0
/project/dsp-guiding-principles-for-colfax-brt/,3,3,1,95.33333333333333,9,0,0
