# ----------------------------------------
# Landing page: Landing page
# Account: Denver Streets Partnership
# Property: Denver Streets Partnership
# ----------------------------------------
# 
# All Users
# Start date: 20260506
# End date: 20260602
Landing page,Sessions,Active users,New users,Average engagement time per session,Key events,Total revenue,Session key event rate
/project/over-the-colfax-clover-neighborhood-festival,4,4,4,0,0,0,0
/project/press-release-2021-09-24-sidewalk-palooza,4,4,4,0,0,0,0
/transit-town-halls,4,3,3,3.5,0,0,0
/what-we-do/shared-open-streets/safer-streets-map,4,4,3,43.25,0,0,0
/2020-bike-lanes,3,1,0,3,0,0,0
/community-voices-vamos,3,3,3,17.666666666666668,0,0,0
/empowered-mimi-luong,3,3,3,123,0,0,0
/high-comfort-bike-lanes,3,3,3,38.333333333333336,0,0,0
/meet-emily-kleinfelter-dsp-program-associate,3,3,3,15.333333333333334,0,0,0
/pedal-powered-delivery,3,1,1,11.666666666666666,0,0,0
/project/13th-avenue-pop-up-traffic-calming,3,3,2,7.666666666666667,0,0,0
/project/bus-rapid-transit-on-colfax,3,3,3,8.333333333333334,0,0,0
/project/vision-zero-community-art-program,3,2,2,12.666666666666666,0,0,0
/project/westwood-via-verde,3,2,2,12.333333333333334,0,0,0
/protect-safe-streets-funding,3,3,1,32.333333333333336,0,0,0
/stephanie-puello,3,3,3,4.666666666666667,0,0,0
/what-we-do/colfax/parking,3,2,2,2.6666666666666665,0,0,0
/apply-to-dsp-advisory-board,2,2,2,0,0,0,0
/brp,2,2,2,23,0,0,0
/celebrating-black-history-month-and-pam-jiner,2,2,2,75.5,0,0,0
/community-voices-a-crucial-corridor-is-missing-from-denvers-near-term-brt-build-out,2,2,2,38.5,0,0,0
/empowered-brooke-goudy,2,2,2,10.5,0,0,0
/events/denver-inter-neighborhood-cooperation-inc-transportation-committee,2,2,1,34.5,0,0,0
/events/remembering-daniel-spira,2,2,2,15,0,0,0
/get-involved,2,2,1,3,0,0,0
/micromobility-license-agreements,2,2,2,0,0,0,0
/project/report-shared-open-streets-survey-results,2,2,2,0,0,0,0
/project/rtd-weighs-cheaper-fares-and-passes-with-no-regional-zones-but-airport-trips-still-would-cost-much-more,2,1,1,8.5,0,0,0
/project/santa-fe-streetscape-study,2,2,1,8.5,0,0,0
/project/special-report-rtd-cant-seem-to-overcome-its-labor-shortages-a-problem-thats-affecting-bus-and-train-riders,2,2,2,5.5,0,0,0
/report-card-press-release,2,2,2,0,0,0,0
/week-without-driving,2,2,2,0,0,0,0
/west-area-plan-enters-next-phase-of-planning,2,2,2,2,0,0,0
/what-we-do/complete-streets,2,2,2,39.5,0,0,0
/what-we-do/micro-grants,2,2,2,12.5,0,0,0
/what-we-do/sidewalksold,2,1,0,20.5,0,0,0
/5593-2,1,1,1,126,0,0,0
/author/dsp2,1,0,0,0,0,0,0
/blog/page/2,1,1,1,0,0,0,0
/blog/page/3,1,1,1,0,0,0,0
/ccdc-sidewalks,1,1,1,678,0,0,0
/community-voices-a-livable-larimer,1,1,1,0,0,0,0
/community-voices-california-street-and-the-convergence-trail,1,1,1,65,0,0,0
/denver-election-2023-park-hill,1,0,0,0,0,0,0
/dme-comments,1,1,1,0,0,0,0
/eliot-street-call-to-mural-artists,1,1,0,49,0,0,0
/empowered-mayra-gonzales,1,1,1,2,0,0,0
/events/6230,1,1,1,12,0,0,0
/events/i-25-and-belleview-interchange-project-public-meeting,1,1,1,3,0,0,0
/freedom-to-walk-and-roll,1,1,1,21,0,0,0
/legislative-session-recap-2024,1,1,1,0,0,0,0
/meet-rtd-board-member-shontel-lewis-virtually-on-march-25-at-get-on-the-bus-transit-justice-forum,1,1,1,39,0,0,0
/our-impact-in-2025,1,1,1,0,0,0,0
/project,1,1,1,0,0,0,0
/project/20-will-have-to-be-plenty-thousands-of-new-speed-limit-signs-are-going-up-across-the-city,1,1,1,1,0,0,0
/project/bike-activists-want-to-see-more-protected-lanes-in-denver,1,1,0,4,0,0,0
/project/bosselman-to-cut-emissions-denver-must-become-a-dense-walkable-15-minute-city,1,1,1,0,0,0,0
/project/cultivate-health-walk-audit-final-report,1,1,1,9,0,0,0
/project/denver-city-council-votes-to-decriminalize-jaywalking,1,1,1,0,0,0,0
/project/denver-street-partnership-poll-finds-strong-support-for-bicycles,1,1,1,25,0,0,0
/project/dsp-guiding-principles-for-colfax-brt,1,1,1,112,0,0,0
/project/federal-boulevard-is-getting-another-median-in-the-name-of-pedestrian-safety,1,1,1,4,0,0,0
/project/hampden-corridor-vision-study,1,1,1,19,0,0,0
/project/man-killed-in-high-speed-crash-identified-suspect-in-custody,1,1,1,25,0,0,0
/project/mother-of-cyclist-killed-in-collision-wants-denver-to-do-more-to-make-streets-safer,1,1,1,6,0,0,0
/project/national-data-highlights-need-for-safer-streets-with-pedestrians-in-mind,1,1,1,0,0,0,0
/project/new-mayor-agenda-100-days,1,1,1,0,0,0,0
/project/page/2,1,1,1,0,0,0,0
